,0,1,2,3
normed_walltime,0.5710229483130155,0.5362458404702651,0.7773232192814994,1.0
threads,1,1,1,1
ranks,125,216,512,729
msfem.Elliptic_MsFEM_Solver.apply_avg_usr,46327.0,41606.2,60884.2,78376.1
msfem.Elliptic_MsFEM_Solver.apply_max_usr,47140,42310,61180,79590
ideal_parallel_efficiency,1,1,1,1
cores,125,216,512,729
ideal_speedup,1.0,1.728,4.096,5.832
ideal_scaleup,1.0,1.0,1.0,1.0
msfem.Elliptic_MsFEM_Solver.apply_avg_wall,46713.2,41945.3,61175.2,78750.9
msfem.Elliptic_MsFEM_Solver.apply_max_wall,47553,42598,61434,79928
msfem.Elliptic_MsFEM_Solver.apply_avg_sys,270.32,234.63,239.98,301.578
msfem.Elliptic_MsFEM_Solver.apply_max_sys,400,390,410,540
msfem.algorithm_avg_usr,46732.8,41920.5,61807.1,79585.8
msfem.algorithm_max_usr,49440,43360,66160,87160
msfem.algorithm_avg_wall,50639.3,47555.3,68934.5,88681.8
msfem.algorithm_max_wall,51366,48347,69205,89859
msfem.algorithm_avg_sys,292.8,256.991,271.699,334.39
msfem.algorithm_max_sys,410,420,490,630
msfem.all_avg_usr,46732.9,41920.6,61807.2,79585.9
msfem.all_max_usr,49440,43360,66160,87160
msfem.all_avg_wall,50639.4,47555.3,68934.5,88681.9
msfem.all_max_wall,51366,48347,69205,89859
msfem.all_avg_sys,292.96,256.991,271.758,334.458
msfem.all_max_sys,410,420,490,630
msfem.coarse.assemble_avg_usr,16995.8,17006.0,31303.3,31089.9
msfem.coarse.assemble_max_usr,26590,23930,33750,45080
msfem.coarse.assemble_avg_wall,17037.8,17049.9,31327.4,31114.5
msfem.coarse.assemble_max_wall,26664,23985,33774,45110
msfem.coarse.assemble_avg_sys,3.84,4.35185,5.1367199999999995,4.828530000000001
msfem.coarse.assemble_max_sys,20,40,50,40
msfem.coarse.linearSolver_avg_usr,17433.4,12893.8,8579.39,26289.9
msfem.coarse.linearSolver_max_usr,25200,22530,27280,53560
msfem.coarse.linearSolver_avg_wall,17583.3,12998.5,8616.62,26410.1
msfem.coarse.linearSolver_max_wall,25430,22733,27328,53617
msfem.coarse.linearSolver_avg_sys,108.8,74.4444,28.0078,91.0974
msfem.coarse.linearSolver_max_sys,220,310,230,350
msfem.coarse.solve_avg_usr,17433.4,12893.8,8579.49,26289.9
msfem.coarse.solve_max_usr,25200,22530,27280,53560
msfem.coarse.solve_avg_wall,17583.3,12998.5,8616.66,26410.2
msfem.coarse.solve_max_wall,25431,22733,27328,53617
msfem.coarse.solve_avg_sys,108.8,74.4444,28.0078,91.0974
msfem.coarse.solve_max_sys,220,310,230,350
msfem.idFine_avg_usr,532.72,533.3330000000001,953.105,958.587
msfem.idFine_max_usr,840,750,1040,1380
msfem.idFine_avg_wall,535.576,535.3430000000001,954.711,960.513
msfem.idFine_max_wall,836,757,1071,1385
msfem.idFine_avg_sys,1.76,1.2037,1.17188,1.41289
msfem.idFine_max_sys,10,20,10,20
msfem.local.solve_for_all_cells_avg_usr,10419.8,10229.6,18324.6,18317.5
msfem.local.solve_for_all_cells_max_usr,18210,16330,23940,30390
msfem.local.solve_for_all_cells_avg_wall,10607.2,10412.7,18548.3,18541.0
msfem.local.solve_for_all_cells_max_wall,18537,16581,24169,30710
msfem.local.solve_for_all_cells_avg_sys,154.32,152.963,204.141,202.771
msfem.local.solve_for_all_cells_max_sys,290,260,280,370
msfem.local_grids_avg_usr,0.88,1.2963,1.8554700000000002,2.07133
msfem.local_grids_max_usr,10,10,10,10
msfem.local_grids_avg_wall,1.008,0.898148,1.84375,1.7846400000000002
msfem.local_grids_max_wall,2,2,2,3
msfem.local_grids_avg_sys,0.56,0.509259,0.449219,0.329218
msfem.local_grids_max_sys,10,10,10,10
msfem.setup.grid_avg_usr,402.4,309.16700000000003,916.836,1203.62
msfem.setup.grid_max_usr,2370,1190,6220,9680
msfem.setup.grid_avg_wall,3804.82,4779.31,7712.87,9922.24
msfem.setup.grid_max_wall,3809,4783,7716,9928
msfem.setup.grid_avg_sys,21.68,21.3426,30.8203,32.2359
msfem.setup.grid_max_sys,60,40,80,90
msfem.setup.problem_avg_usr,0.0,0.046296300000000006,0.0585938,0.0960219
msfem.setup.problem_max_usr,0,10,10,10
msfem.setup.problem_avg_wall,0,0,0,0
msfem.setup.problem_max_wall,0,0,0,0
msfem.setup.problem_avg_sys,0.08,0.0,0.0,0.0
msfem.setup.problem_max_sys,10,0,0,0
proxy.add_avg_usr,937.68,935.4169999999999,1713.89,1710.26
proxy.add_max_usr,1460,1370,1880,2470
proxy.add_avg_wall,939.704,939.2130000000001,1715.86,1712.27
proxy.add_max_wall,1475,1377,1882,2469
proxy.add_avg_sys,1.52,1.38889,1.30859,1.33059
proxy.add_max_sys,10,10,20,10
global.datadir,/home/hpc/pr94si/di73dez/multiscale-build-phase2/dune-multiscale/scaleup_n125_T1,/home/hpc/pr94si/di73dez/multiscale-build-phase2/dune-multiscale/scaleup_n216_T1,/home/hpc/pr94si/di73dez/multiscale-build-phase2/dune-multiscale/scaleup_n512_T1,/home/hpc/pr94si/di73dez/multiscale-build-phase2/dune-multiscale/scaleup_n729_T1
global.output_walltime,1.0,1.0,1.0,1.0
global.skip_error,1.0,1.0,1.0,1.0
global.vtk_output,0.0,0.0,0.0,0.0
grids.dim,3.0,3.0,3.0,3.0
grids.macro_cells_per_dim,25.0,30.0,40.0,45.0
grids.micro_cells_per_macrocell_dim,8.0,8.0,8.0,8.0
grids.overlap,1.0,1.0,1.0,1.0
grids.total_fine_cells,8000000.0,13824000.0,32768000.0,46656000.0
grids.total_macro_cells,15625.0,27000.0,64000.0,91125.0
logging.dir,logs,logs,logs,logs
logging.file,msfem.log,msfem.log,msfem.log,msfem.log
logging.level,22.0,22.0,22.0,22.0
msfem.coarse_solver,bicgstab.amg.ilu0,bicgstab.amg.ilu0,bicgstab.amg.ilu0,bicgstab.amg.ilu0
msfem.fem_comparison,1.0,1.0,1.0,1.0
msfem.local_corrections_vtk_output,0.0,0.0,0.0,0.0
msfem.local_solver,umfpack,umfpack,umfpack,umfpack
msfem.local_solver_verbose,0.0,0.0,0.0,0.0
msfem.oversampling_layers,0.0,0.0,0.0,0.0
private.int,5.0,6.0,8.0,9.0
private.power,125.0,216.0,512.0,729.0
problem.name,Synthetic,Synthetic,Synthetic,Synthetic
threading.max_count,1.0,1.0,1.0,1.0
threading.partition_factor,1.0,1.0,1.0,1.0
global.maxPeakMemoryConsumption,72524,70404,68160,77264
global.meanPeakMemoryConsumption,57106,59363,63063,67635
msfem.coarse.assemble_max_usr_scaleup,1.0,1.111,0.788,0.59
msfem.coarse.assemble_max_usr_abspart,0.538,0.552,0.51,0.517
msfem.coarse.assemble_max_usr_wallpart,0.518,0.495,0.488,0.502
msfem.coarse.assemble_avg_usr_scaleup,1.0,0.999,0.543,0.547
msfem.coarse.assemble_avg_usr_abspart,0.364,0.406,0.506,0.391
msfem.coarse.assemble_avg_usr_wallpart,0.336,0.358,0.454,0.351
msfem.coarse.assemble_max_sys_scaleup,1.0,0.5,0.4,0.5
msfem.coarse.assemble_max_sys_abspart,0.049,0.095,0.102,0.063
msfem.coarse.assemble_max_sys_wallpart,0.0,0.001,0.001,0.0
msfem.coarse.assemble_avg_sys_scaleup,1.0,0.882,0.748,0.795
msfem.coarse.assemble_avg_sys_abspart,0.013,0.017,0.019,0.014
