,0,1,2,3,4
normed_walltime,0.5744838504800214,0.5226525897221123,0.5320528161559631,1.0,0.6338548522196961
threads,1,1,1,1,1
ranks,125,216,343,512,729
msfem.Elliptic_MsFEM_Solver.apply_avg_usr,46425.0,41580.8,41542.0,30488.5,40471.5
msfem.Elliptic_MsFEM_Solver.apply_max_usr,47330,42190,42230,30600,41050
ideal_parallel_efficiency,1,1,1,1,1
cores,125,216,343,512,729
ideal_speedup,1.0,1.728,2.744,4.096,5.832
ideal_scaleup,1.0,1.0,1.0,1.0,1.0
msfem.Elliptic_MsFEM_Solver.apply_avg_wall,46805.0,41917.8,41885.6,30752.7,40809.7
msfem.Elliptic_MsFEM_Solver.apply_max_wall,47655,42532,42509,30808,41355
msfem.Elliptic_MsFEM_Solver.apply_avg_sys,262.08,232.731,238.834,178.105,233.265
msfem.Elliptic_MsFEM_Solver.apply_max_sys,400,380,390,260,400
msfem.algorithm_avg_usr,46684.6,41789.0,41809.6,31406.6,41139.0
msfem.algorithm_max_usr,48990,43580,45130,69310,54210
msfem.algorithm_avg_wall,49929.9,45425.2,46242.2,86912.8,55090.0
msfem.algorithm_max_wall,50506,46024,46583,88970,55320
msfem.algorithm_avg_sys,282.4,253.611,259.942,203.477,258.519
msfem.algorithm_max_sys,420,410,420,550,430
msfem.all_avg_usr,46684.6,41789.1,41809.7,31406.6,41139.0
msfem.all_max_usr,48990,43580,45130,69310,54210
msfem.all_avg_wall,49930.0,45425.2,46242.2,86912.8,55090.1
msfem.all_max_wall,50506,46024,46583,88970,55321
msfem.all_avg_sys,282.56,253.704,259.971,203.516,258.615
msfem.all_max_sys,420,410,420,550,430
msfem.coarse.assemble_avg_usr,17011.0,16997.8,17002.1,16997.9,17018.0
msfem.coarse.assemble_max_usr,26680,23840,23880,18050,23020
msfem.coarse.assemble_avg_wall,17054.5,17040.9,17046.1,17041.7,17061.8
msfem.coarse.assemble_max_wall,26746,23886,23941,18100,23073
msfem.coarse.assemble_avg_sys,4.08,3.28704,4.2565599999999995,4.121090000000001,4.4307300000000005
msfem.coarse.assemble_max_sys,20,20,20,20,20
msfem.coarse.linearSolver_avg_usr,17514.2,12872.8,12955.1,2023.44,12042.9
msfem.coarse.linearSolver_max_usr,25300,22530,23080,2900,20200
msfem.coarse.linearSolver_avg_wall,17658.4,12976.0,13056.6,2042.47,12144.9
msfem.coarse.linearSolver_max_wall,25519,22695,23290,2927,20299
msfem.coarse.linearSolver_avg_sys,103.84,73.28699999999999,70.4373,12.4414,72.4005
msfem.coarse.linearSolver_max_sys,220,240,220,50,230
msfem.coarse.solve_avg_usr,17514.2,12872.9,12955.2,2023.5,12043.0
msfem.coarse.solve_max_usr,25300,22530,23080,2900,20200
msfem.coarse.solve_avg_wall,17658.4,12976.1,13056.7,2042.51,12144.9
msfem.coarse.solve_max_wall,25519,22695,23290,2927,20299
msfem.coarse.solve_avg_sys,103.84,73.28699999999999,70.4373,12.4414,72.4005
msfem.coarse.solve_max_sys,220,240,220,50,230
msfem.idFine_avg_usr,533.52,532.778,533.557,532.91,534.431
msfem.idFine_max_usr,840,750,760,550,730
msfem.idFine_avg_wall,535.504,535.194,535.717,535.182,536.3919999999999
msfem.idFine_max_wall,838,764,757,550,735
msfem.idFine_avg_sys,1.36,1.48148,1.2828,1.34766,1.4403299999999999
msfem.idFine_max_sys,10,10,10,20,20
msfem.local.solve_for_all_cells_avg_usr,10423.6,10233.7,10108.2,9990.35,9931.89
msfem.local.solve_for_all_cells_max_usr,18290,16280,16310,11970,15250
msfem.local.solve_for_all_cells_avg_wall,10609.1,10417.5,10299.6,10184.6,10117.4
msfem.local.solve_for_all_cells_max_wall,18546,16569,16563,12187,15455
msfem.local.solve_for_all_cells_avg_sys,151.2,153.241,161.341,158.594,153.923
msfem.local.solve_for_all_cells_max_sys,240,260,270,240,300
msfem.local_grids_avg_usr,1.52,1.25,0.90379,0.839844,1.06996
msfem.local_grids_max_usr,10,10,10,10,10
msfem.local_grids_avg_wall,1.08,0.9120370000000001,0.932945,1.00977,0.960219
msfem.local_grids_max_wall,2,2,2,4,1
msfem.local_grids_avg_sys,1.52,0.8796299999999999,0.9912540000000001,0.917969,0.699588
msfem.local_grids_max_sys,10,10,10,10,10
msfem.setup.grid_avg_usr,254.8,204.398,263.528,913.184,662.675
msfem.setup.grid_max_usr,1790,1600,3060,38780,13520
msfem.setup.grid_avg_wall,2842.8,3484.85,4027.45,54499.6,13955.3
msfem.setup.grid_max_wall,2846,3492,4030,54707,13981
msfem.setup.grid_avg_sys,18.48,19.8148,19.7376,23.8477,23.9232
msfem.setup.grid_max_sys,60,70,70,420,190
msfem.setup.problem_avg_usr,0.0,0.0,0.058309,0.019531200000000002,0.0
msfem.setup.problem_max_usr,0,0,10,10,0
msfem.setup.problem_avg_wall,0,0,0,0,0
msfem.setup.problem_max_wall,0,0,0,0,0
msfem.setup.problem_avg_sys,0.0,0.0,0.0,0.0,0.027434800000000002
msfem.setup.problem_max_sys,0,0,0,0,10
proxy.add_avg_usr,935.52,936.3889999999999,935.452,936.367,936.9960000000001
proxy.add_max_usr,1480,1340,1340,1000,1300
proxy.add_avg_wall,937.784,938.653,937.9910000000001,939.0,939.6010000000001
proxy.add_max_wall,1482,1335,1339,997,1295
proxy.add_avg_sys,1.44,1.06481,1.1078700000000001,1.25,0.90535
proxy.add_max_sys,10,10,10,10,10
global.datadir,/home/hpc/pr94si/di73dez/multiscale-build-phase2/dune-multiscale/scaleup_n125_T1,/home/hpc/pr94si/di73dez/multiscale-build-phase2/dune-multiscale/scaleup_n216_T1,/home/hpc/pr94si/di73dez/multiscale-build-phase2/dune-multiscale/scaleup_n343_T1,/home/hpc/pr94si/di73dez/multiscale-build-phase2/dune-multiscale/scaleup_n512_T1,/home/hpc/pr94si/di73dez/multiscale-build-phase2/dune-multiscale/scaleup_n729_T1
global.output_walltime,1.0,1.0,1.0,1.0,1.0
global.skip_error,1.0,1.0,1.0,1.0,1.0
global.vtk_output,0.0,0.0,0.0,0.0,0.0
grids.dim,3.0,3.0,3.0,3.0,3.0
grids.macro_cells_per_dim,25.0,30.0,35.0,40.0,45.0
grids.micro_cells_per_macrocell_dim,8.0,8.0,8.0,8.0,8.0
grids.overlap,1.0,1.0,1.0,1.0,1.0
grids.total_fine_cells,8000000.0,13824000.0,21952000.0,32768000.0,46656000.0
grids.total_macro_cells,15625.0,27000.0,42875.0,64000.0,91125.0
logging.dir,logs,logs,logs,logs,logs
logging.file,msfem.log,msfem.log,msfem.log,msfem.log,msfem.log
logging.level,22.0,22.0,22.0,22.0,22.0
msfem.coarse_solver,bicgstab.amg.ilu0,bicgstab.amg.ilu0,bicgstab.amg.ilu0,bicgstab.amg.ilu0,bicgstab.amg.ilu0
msfem.fem_comparison,1.0,1.0,1.0,1.0,1.0
msfem.local_corrections_vtk_output,0.0,0.0,0.0,0.0,0.0
msfem.local_solver,umfpack,umfpack,umfpack,umfpack,umfpack
msfem.local_solver_verbose,0.0,0.0,0.0,0.0,0.0
msfem.oversampling_layers,0.0,0.0,0.0,0.0,0.0
private.int,5.0,6.0,7.0,8.0,9.0
private.power,125.0,216.0,343.0,512.0,729.0
problem.name,Synthetic,Synthetic,Synthetic,Synthetic,Synthetic
threading.max_count,1.0,1.0,1.0,1.0,1.0
threading.partition_factor,1.0,1.0,1.0,1.0,1.0
global.maxPeakMemoryConsumption,72492,70468,73040,74004,80136
global.meanPeakMemoryConsumption,57099,59337,61852,65371,70369
msfem.algorithm_max_usr_scaleup,1.0,1.124,1.086,0.707,0.904
msfem.algorithm_max_usr_abspart,1.0,1.0,1.0,1.0,1.0
msfem.algorithm_max_usr_wallpart,0.97,0.947,0.969,0.779,0.98
msfem.algorithm_avg_usr_scaleup,1.0,1.117,1.117,1.486,1.135
msfem.algorithm_avg_usr_abspart,1.0,1.0,1.0,1.0,1.0
msfem.algorithm_avg_usr_wallpart,0.935,0.92,0.904,0.361,0.747
msfem.algorithm_max_sys_scaleup,1.0,1.024,1.0,0.764,0.977
msfem.algorithm_max_sys_abspart,1.0,1.0,1.0,1.0,1.0
msfem.algorithm_max_sys_wallpart,0.008,0.009,0.009,0.006,0.008
msfem.algorithm_avg_sys_scaleup,1.0,1.114,1.086,1.388,1.092
msfem.algorithm_avg_sys_abspart,0.999,1.0,1.0,1.0,1.0
msfem.algorithm_avg_sys_wallpart,0.006,0.006,0.006,0.002,0.005
msfem.algorithm_max_wall_scaleup,1.0,1.097,1.084,0.568,0.913
msfem.algorithm_max_wall_abspart,1.0,1.0,1.0,1.0,1.0
msfem.algorithm_max_wall_wallpart,1.0,1.0,1.0,1.0,1.0
msfem.algorithm_avg_wall_scaleup,1.0,1.099,1.08,0.574,0.906
msfem.algorithm_avg_wall_abspart,1.0,1.0,1.0,1.0,1.0
msfem.algorithm_avg_wall_wallpart,1.0,1.0,1.0,1.0,1.0
