,0,1,2,3
normed_walltime,1.0,0.6102814022952366,0.47190244121544234,0.5311923102836481
threads,1,1,1,1
ranks,1792,3584,7168,14336
msfem.Elliptic_MsFEM_Solver.apply_avg_usr,417909.0,211558.0,122139.0,62015.1
msfem.Elliptic_MsFEM_Solver.apply_max_usr,419380,212500,123390,63000
ideal_parallel_efficiency,1,1,1,1
cores,1792,3584,7168,14336
ideal_speedup,1.0,2.0,4.0,8.0
ideal_scaleup,1.0,0.5,0.25,0.125
msfem.Elliptic_MsFEM_Solver.apply_avg_wall,420973.0,213239.0,123149.0,62567.2
msfem.Elliptic_MsFEM_Solver.apply_max_wall,422241,214284,124281,63564
msfem.Elliptic_MsFEM_Solver.apply_avg_sys,2082.04,1174.24,708.584,391.905
msfem.Elliptic_MsFEM_Solver.apply_max_sys,2610,1470,1000,590
msfem.algorithm_avg_usr,418621,220218,133898,67195
msfem.algorithm_max_usr,423440,247340,147280,93300
msfem.algorithm_avg_wall,445270,271740,210124,236524
msfem.algorithm_max_wall,446544,272616,211098,237726
msfem.algorithm_avg_sys,2107.63,1246.51,799.932,444.202
msfem.algorithm_max_sys,2630,1880,1140,700
msfem.all_avg_usr,418621,220218,133899,67195
msfem.all_max_usr,423440,247340,147280,93300
msfem.all_avg_wall,445270,271740,210124,236524
msfem.all_max_wall,446544,272616,211098,237726
msfem.all_avg_sys,2107.66,1246.55,799.985,444.27
msfem.all_max_sys,2630,1880,1140,700
msfem.coarse.assemble_avg_usr,236921.0,118476.0,59205.6,29573.6
msfem.coarse.assemble_max_usr,246500,124140,70820,36080
msfem.coarse.assemble_avg_wall,237472.0,118753.0,59342.5,29640.9
msfem.coarse.assemble_max_wall,247073,124430,70988,36164
msfem.coarse.assemble_avg_sys,15.067,7.254460000000001,2.82366,1.03795
msfem.coarse.assemble_max_sys,90,70,60,20
msfem.coarse.linearSolver_avg_usr,87.3717,58.7305,58.8853,58.3657
msfem.coarse.linearSolver_max_usr,100,80,80,80
msfem.coarse.linearSolver_avg_wall,96.9911,68.9902,70.9766,69.9805
msfem.coarse.linearSolver_max_wall,97,70,71,70
msfem.coarse.linearSolver_avg_sys,2.60045,2.44699,2.56557,2.52372
msfem.coarse.linearSolver_max_sys,20,20,20,20
msfem.coarse.solve_avg_usr,87.3996,58.7835,58.9021,58.3915
msfem.coarse.solve_max_usr,100,80,80,80
msfem.coarse.solve_avg_wall,96.9911,69.0142,70.9766,69.9805
msfem.coarse.solve_max_wall,97,70,71,70
msfem.coarse.solve_avg_sys,2.60045,2.44699,2.57115,2.5272
msfem.coarse.solve_max_sys,20,20,20,20
msfem.idFine_avg_usr,6958.08,3476.16,1737.33,868.923
msfem.idFine_max_usr,7630,4370,2490,1260
msfem.idFine_avg_wall,6981.47,3487.75,1743.0,871.5189999999999
msfem.idFine_max_wall,7655,4389,2491,1257
msfem.idFine_avg_sys,7.075889999999999,3.7165199999999996,1.88756,0.9912110000000001
msfem.idFine_max_sys,40,20,20,20
msfem.local.solve_for_all_cells_avg_usr,133789.0,67239.7,33656.3,16849.4
msfem.local.solve_for_all_cells_max_usr,158500,81110,47890,24980
msfem.local.solve_for_all_cells_avg_wall,135979.0,68456.0,34292.4,17197.2
msfem.local.solve_for_all_cells_max_wall,160747,82294,48671,25382
msfem.local.solve_for_all_cells_avg_sys,1859.83,1047.61,546.049,299.676
msfem.local.solve_for_all_cells_max_sys,2330,1330,790,490
msfem.local_grids_avg_usr,3.74442,2.04241,0.961217,0.572684
msfem.local_grids_max_usr,10,10,10,10
