,0,1,2
normed_walltime,1.0,0.5622108881148523,0.5626393726617644
threads,1,1,1
ranks,1792,3584,7168
msfem.Elliptic_MsFEM_Solver.apply_avg_usr,408459,204837,117576
msfem.Elliptic_MsFEM_Solver.apply_max_usr,409440,205650,118690
ideal_parallel_efficiency,1,1,1
cores,1792,3584,7168
ideal_speedup,1.0,2.0,4.0
ideal_scaleup,1.0,0.5,0.25
msfem.Elliptic_MsFEM_Solver.apply_avg_wall,411493,206516,118586
msfem.Elliptic_MsFEM_Solver.apply_max_wall,412387,207274,119646
msfem.Elliptic_MsFEM_Solver.apply_avg_sys,2072.96,1157.36,711.613
msfem.Elliptic_MsFEM_Solver.apply_max_sys,2440,1450,1020
msfem.algorithm_avg_usr,409105,206009,122739
msfem.algorithm_max_usr,414030,215470,139250
msfem.algorithm_avg_wall,434088,244049,244235
msfem.algorithm_max_wall,434990,244723,245286
msfem.algorithm_avg_sys,2098.68,1185.71,763.2130000000001
msfem.algorithm_max_sys,2470,1500,1120
msfem.all_avg_usr,409105,206009,122739
msfem.all_max_usr,414030,215470,139250
msfem.all_avg_wall,434088,244049,244235
msfem.all_max_wall,434990,244724,245286
msfem.all_avg_sys,2098.73,1185.78,763.2689999999999
msfem.all_max_sys,2470,1500,1120
msfem.coarse.assemble_avg_usr,226386.0,113341.0,56563.9
msfem.coarse.assemble_max_usr,235000,118180,67590
msfem.coarse.assemble_avg_wall,226915.0,113606.0,56695.1
msfem.coarse.assemble_max_wall,235526,118450,67743
msfem.coarse.assemble_avg_sys,14.5592,6.50949,2.97852
msfem.coarse.assemble_max_sys,50,40,40
msfem.coarse.linearSolver_avg_usr,32794.9,16421.1,23502.0
msfem.coarse.linearSolver_max_usr,47940,24300,36130
msfem.coarse.linearSolver_avg_wall,33051.5,16548.8,23715.0
msfem.coarse.linearSolver_max_wall,48302,24475,36330
msfem.coarse.linearSolver_avg_sys,183.41,91.1523,160.06
msfem.coarse.linearSolver_max_sys,440,240,430
msfem.coarse.solve_avg_usr,32795.0,16421.1,23502.0
msfem.coarse.solve_max_usr,47940,24300,36130
msfem.coarse.solve_avg_wall,33051.5,16548.9,23715.1
msfem.coarse.solve_max_wall,48302,24475,36330
msfem.coarse.solve_avg_sys,183.41,91.1523,160.061
msfem.coarse.solve_max_sys,440,240,430
msfem.idFine_avg_usr,6944.47,3474.74,1734.92
msfem.idFine_max_usr,7760,4050,2080
msfem.idFine_avg_wall,6968.34,3486.59,1740.44
msfem.idFine_max_wall,7778,4068,2082
msfem.idFine_avg_sys,7.37165,3.8365,1.9573099999999999
msfem.idFine_max_sys,30,20,20
msfem.local.solve_for_all_cells_avg_usr,130335.0,65592.3,32779.2
msfem.local.solve_for_all_cells_max_usr,154520,79340,46820
msfem.local.solve_for_all_cells_avg_wall,132522.0,66846.7,33429.3
msfem.local.solve_for_all_cells_max_wall,156890,80540,47519
msfem.local.solve_for_all_cells_avg_sys,1860.12,1052.11,544.76
msfem.local.solve_for_all_cells_max_sys,2240,1310,810
msfem.local_grids_avg_usr,3.6997800000000005,1.9280099999999998,1.00725
msfem.local_grids_max_usr,10,10,10
msfem.local_grids_avg_wall,4.63114,2.0011200000000002,0.432338
msfem.local_grids_max_wall,8,3,1
msfem.local_grids_avg_sys,1.50112,0.93471,0.223214
msfem.local_grids_max_sys,10,10,10
msfem.setup.grid_avg_usr,634.012,1165.35,5159.85
msfem.setup.grid_max_usr,5480,10370,21770
msfem.setup.grid_avg_wall,22573.5,36928.0,124409.0
msfem.setup.grid_max_wall,22592,36971,124558
msfem.setup.grid_avg_sys,23.5156,26.7132,50.8092
msfem.setup.grid_max_sys,70,80,220
msfem.setup.problem_avg_usr,0.106027,0.0697545,0.255301
msfem.setup.problem_max_usr,10,10,10
msfem.setup.problem_avg_wall,0,0,0
msfem.setup.problem_max_wall,0,0,0
msfem.setup.problem_avg_sys,0.055803599999999995,0.0585938,0.0655692
msfem.setup.problem_max_sys,10,10,10
proxy.add_avg_usr,11967.7,5992.55,2988.01
proxy.add_max_usr,12740,6850,3910
proxy.add_avg_wall,12002.7,6009.82,2996.26
proxy.add_max_wall,12770,6870,3925
proxy.add_avg_sys,7.3939699999999995,3.67746,1.75642
proxy.add_max_sys,20,20,20
global.datadir,/home/hpc/pr94si/di73dez/multiscale-build-phase2/dune-multiscale/aniso-spgrid_speedup_n1792_x_T1,/home/hpc/pr94si/di73dez/multiscale-build-phase2/dune-multiscale/aniso-spgrid_speedup_n3584_x_T1,/home/hpc/pr94si/di73dez/multiscale-build-phase2/dune-multiscale/aniso-spgrid_speedup_n7168_x_T1
global.output_walltime,1.0,1.0,1.0
global.skip_error,1.0,1.0,1.0
global.vtk_output,0.0,0.0,0.0
grids.dim,3.0,3.0,3.0
grids.macro_cells_per_dim,96.0,96.0,96.0
grids.micro_cells_per_macrocell_dim,12.0,12.0,12.0
grids.overlap,1.0,1.0,1.0
grids.total_fine_cells,1528823808.0,1528823808.0,1528823808.0
grids.total_macro_cells,884736.0,884736.0,884736.0
logging.dir,logdata,logdata,logdata
logging.file,ms.log,ms.log,ms.log
logging.level,22.0,22.0,22.0
msfem.coarse_solver,bicgstab.ilut,bicgstab.ilut,bicgstab.ilut
msfem.coarse_solver.check,0.0,0.0,0.0
msfem.coarse_solver.max_iter,40.0,40.0,40.0
msfem.coarse_solver.verbose,6.0,6.0,6.0
msfem.fem_comparison,0.0,0.0,0.0
msfem.local_corrections_vtk_output,0.0,0.0,0.0
msfem.local_solver,umfpack,umfpack,umfpack
msfem.local_solver_verbose,0.0,0.0,0.0
msfem.oversampling_layers,0.0,0.0,0.0
problem.name,Synthetic,Synthetic,Synthetic
threading.max_count,1.0,1.0,1.0
threading.partition_factor,1.0,1.0,1.0
global.maxPeakMemoryConsumption,259288,204796,236548
global.meanPeakMemoryConsumption,250313,197231,224977
proxy.add_max_usr_speedup,1.0,1.86,3.258
proxy.add_max_usr_parallel_efficiency,1.0,0.93,0.8145
proxy.add_max_usr_abspart,0.031,0.032,0.028
proxy.add_max_usr_wallpart,0.029,0.028,0.016
proxy.add_avg_usr_speedup,1.0,1.997,4.005
proxy.add_avg_usr_parallel_efficiency,1.0,0.9985,1.00125
proxy.add_avg_usr_abspart,0.029,0.029,0.024
proxy.add_avg_usr_wallpart,0.028,0.025,0.012
proxy.add_max_sys_speedup,1.0,1.0,1.0
proxy.add_max_sys_parallel_efficiency,1.0,0.5,0.25
proxy.add_max_sys_abspart,0.008,0.013,0.018
proxy.add_max_sys_wallpart,0.0,0.0,0.0
proxy.add_avg_sys_speedup,1.0,2.011,4.21
proxy.add_avg_sys_parallel_efficiency,1.0,1.0055,1.0525
proxy.add_avg_sys_abspart,0.004,0.003,0.002
proxy.add_avg_sys_wallpart,0.0,0.0,0.0
proxy.add_max_wall_speedup,1.0,1.859,3.254
proxy.add_max_wall_parallel_efficiency,1.0,0.9295,0.8135
proxy.add_max_wall_abspart,0.029,0.028,0.016
proxy.add_max_wall_wallpart,0.029,0.028,0.016
proxy.add_avg_wall_speedup,1.0,1.997,4.006
