,0,1,2,3
normed_walltime,1.0,0.6134167718821876,0.45019622625145317,0.505209627678826
threads,1,1,1,1
ranks,1792,3584,7168,14336
msfem.Elliptic_MsFEM_Solver.apply_avg_usr,473870.0,245416.0,120716.0,61934.1
msfem.Elliptic_MsFEM_Solver.apply_max_usr,478200,247520,122920,63320
ideal_parallel_efficiency,1,1,1,1
cores,1792,3584,7168,14336
ideal_speedup,1.0,2.0,4.0,8.0
ideal_scaleup,1.0,0.5,0.25,0.125
msfem.Elliptic_MsFEM_Solver.apply_avg_wall,477612.0,247342.0,121710.0,62495.3
msfem.Elliptic_MsFEM_Solver.apply_max_wall,481804,249293,123776,63828
msfem.Elliptic_MsFEM_Solver.apply_avg_sys,2634.26,1348.78,703.35,409.43800000000005
msfem.Elliptic_MsFEM_Solver.apply_max_sys,4020,2570,1040,710
msfem.algorithm_avg_usr,476881.0,247452.0,125276.0,66373.6
msfem.algorithm_max_usr,485430,255630,139640,90090
msfem.algorithm_avg_wall,599563,367782,269921,302905
msfem.algorithm_max_wall,603880,370008,273071,305063
msfem.algorithm_avg_sys,6161.44,3537.73,5954.75,6050.2
msfem.algorithm_max_sys,14980,10260,22280,29340
msfem.all_avg_usr,476881.0,247452.0,125276.0,66373.7
msfem.all_max_usr,485430,255630,139640,90090
msfem.all_avg_wall,599563,367782,269921,302905
msfem.all_max_wall,603880,370008,273071,305063
msfem.all_avg_sys,6161.49,3537.81,5954.82,6050.27
msfem.all_max_sys,14980,10260,22280,29340
msfem.coarse.assemble_avg_usr,235355.0,117711.0,58856.1,29392.5
msfem.coarse.assemble_max_usr,282940,145110,72260,36810
msfem.coarse.assemble_avg_wall,235903.0,117986.0,58994.7,29460.2
msfem.coarse.assemble_max_wall,283587,145435,72418,36893
msfem.coarse.assemble_avg_sys,14.8884,7.728789999999999,4.44196,1.93429
msfem.coarse.assemble_max_sys,50,90,60,90
msfem.coarse.linearSolver_avg_usr,68.8281,31.1719,33.2324,30.0426
msfem.coarse.linearSolver_max_usr,80,40,50,40
msfem.coarse.linearSolver_avg_wall,71.9994,34.0,39.5,35.9217
msfem.coarse.linearSolver_max_wall,72,34,44,36
msfem.coarse.linearSolver_avg_sys,2.74554,2.2321400000000002,5.9947,5.56989
msfem.coarse.linearSolver_max_sys,20,20,30,30
msfem.coarse.solve_avg_usr,68.8504,31.2109,33.2575,30.0663
msfem.coarse.solve_max_usr,80,40,50,40
msfem.coarse.solve_avg_wall,71.9994,34.0,39.5,35.9219
msfem.coarse.solve_max_wall,72,34,44,36
msfem.coarse.solve_avg_sys,2.74554,2.2321400000000002,5.99749,5.57338
msfem.coarse.solve_max_sys,20,20,30,30
msfem.idFine_avg_usr,6468.81,3232.89,1615.97,808.544
